pdv_code,lat,lon,demanda,frecuencia,sector,visitas,hora_inicio,hora_fin,cluster
613303,20.60714,-100.3967,380,1,XC5,x,07:00,13:00,5
613304,20.60501,-100.3952,540,1,XC5,x,07:00,13:00,5
613310,20.60842,-100.3983,560,1,XC5,x,07:00,13:00,5
613317,20.60269,-100.4101,430,1,XC5,x,,,9
613318,20.60419,-100.41,280,1,XC5,x,,,9
613326,20.60573,-100.3981,1400,2,XC5,x,,,5
613331,20.59422,-100.4018,2100,1,XC5,x,,,10
613351,20.60425,-100.3928,550,2,XC5,x,07:00,13:00,5
613899,20.58217,-100.3736,230,1,ZN8,x,,,8
613905,20.5796,-100.3803,810,1,ZN8,x,,,6
613911,20.5808,-100.3863,410,1,M87,x,,,6
613914,20.60015,-100.3744,440,2,ZN8,x,,,8
613918,20.60179,-100.3655,1200,1,ZN8,x,07:00,13:00,8
613929,20.60808,-100.33151,360,2,ZN8,x,,,8
613936,20.61534,-100.3192,760,2,ZN8,x,,,8
613939,20.59238,-100.3691,1000,2,ZN8,x,,,8
613948,20.6115,-100.328,280,1,ZN8,x,,,8
613960,20.58138,-100.3778,970,2,ZN8,x,,,8
613967,20.60032,-100.3898,560,2,XC5,x,07:00,13:00,5
613970,20.59555,-100.3838,760,2,ZN8,x,,,8
613971,20.59515,-100.3844,520,1,ZN8,x,,,8
613972,20.59031,-100.3871,1100,2,ZN8,100100,,,5
613977,20.59749,-100.3874,510,2,XC5,1001,,,8
613989,20.60049,-100.3911,380,1,XC5,x,07:00,13:00,5
613990,20.60036,-100.3922,960,2,XC5,x,07:00,13:00,5
613997,20.59359,-100.3823,2800,2,ZN8,x,,,8
614002,20.60408,-100.3909,3600,1,XC5,x,,,5
614005,20.60482,-100.385,2600,2,XC5,100100,,,8
614032,20.59985,-100.359,3600,2,ZN8,1001,07:00,13:00,8
614035,20.58229,-100.3853,300,1,M87,x,,,5
614039,20.60454,-100.3414,320,2,ZN8,x,,,8
614062,20.54292,-100.4042,3100,2,ZN6,x,,,0
614143,20.56104,-100.3998,180,2,1D4,x,07:00,13:00,6
614224,20.60535,-100.402,430,2,XC5,x,,,5
614225,20.60277,-100.39619,2100,2,XC5,x,,,5
614228,20.5709,-100.392,940,2,M87,x,,,6
614233,20.5717,-100.39251,180,2,M87,x,,,6
614655,20.7319,-100.4446,480,1,M79,x,,,11
614656,20.74137,-100.4488,340,1,M79,x,,,11
614661,20.7445,-100.4479,2000,2,M79,x,07:00,13:00,11
614702,20.76066,-100.4283,1200,2,M79,x,,,11
614711,20.82325,-100.4694,270,1,M79,x,,,11
614724,20.74139,-100.4509,700,1,M79,x,07:00,13:00,11
614738,20.74654,-100.4511,510,1,M79,x,,,11
614741,20.7464,-100.4514,790,1,M79,x,,,11
614742,20.74651,-100.451,2600,2,M79,x,,,11
614759,20.73886,-100.4469,1700,2,M79,x,,,11
614841,20.6532,-100.38596,1800,2,M77,x,,,12
614843,20.62104,-100.4054,1900,2,M81,x,,,9
614858,20.62325,-100.39175,2400,2,M92,x,,,2
614860,20.67821,-100.4572,940,1,M79,x,,,11
614861,20.62631,-100.414,1600,2,M81,x,,,9
614862,20.63956,-100.40138,670,2,M92,x,,,2
614868,20.67808,-100.4578,500,2,M79,x,,,11
614872,20.62783,-100.41667,2200,2,M81,x,,,9
614874,20.64007,-100.4007,430,2,M92,x,,,2
614890,20.63799,-100.40301,450,2,M92,x,,,2
614893,20.62844,-100.40804,3500,3,M81,x,,,9
614909,20.62357,-100.4159,710,2,M81,x,,,9
614915,20.67983,-100.4571,440,1,M79,x,,,3
614926,20.64952,-100.39979,470,2,M92,x,,,2
614928,20.63961,-100.40107,300,2,M92,x,,,2
614931,20.62399,-100.4182,1800,2,M81,x,,,9
614934,20.62786,-100.4162,3200,2,M81,x,,,9
614944,20.67706,-100.4563,1200,1,M79,x,,,11
614946,20.6307,-100.3884,550,2,M92,x,,,2
614962,20.65097,-100.40114,500,2,M92,x,,,2
614963,20.64197,-100.4009,1300,2,M92,x,,,2
614967,20.64151,-100.3957,590,2,M92,x,,,2
614968,20.64533,-100.39632,520,2,M77,x,,,12
614971,20.64314,-100.4015,540,2,M92,x,,,2
614983,20.62794,-100.407,570,2,M81,x,,,2
614995,20.6271,-100.4141,400,1,M81,x,,,9
615010,20.62818,-100.4091,1100,2,M81,x,,,2
615021,20.64766,-100.3979,640,2,M77,x,,,2
615026,20.63051,-100.3875,360,2,M92,x,,,12
615038,20.61495972,-100.4642029,230,1,1D7,x,,,7
615070,20.63512,-100.4615,1600,2,XC6,x,,,3
